"Network ID","Network Name","Native ID","Station ID","Station Name","History ID","Province","Longitude","Latitude","Elevation (m)","Record Start","Record End","Obs Freq","Variables"
"1","EC","1018FJ5","98","VICTORIA HARTLAND CS","501","BC","-123.4591","48.53383","154.1","1994-06-01","2011-05-31","Daily","Precipitation Amount|Precipitation Climatology|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1010720","315","BEAR CREEK","718","BC","-124","48.5","351","1910-11-01","2000-09-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1011500","317","CHEMAINUS","720","BC","-123.7407","48.93418","75","1919-01-01","2022-03-04","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1011922","319","CORDOVA BAY SOUTH","722","BC","-123.366667","48.516667","26","1972-03-07","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012018","338","COWICHAN BAY SOUTHEAST","741","BC","-123.6","48.733333","94","1989-06-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012040","339","COWICHAN LAKE FORESTRY","742","BC","-124.1333","48.82444","176.8","1949-04-01","2018-02-28","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012055","341","LAKE COWICHAN","744","BC","-124.0522","48.82944","171","1960-07-15","2022-01-30","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012562","343","DUNCAN BCHPA VIT","746","BC","-123.716667","48.833333","36","1972-10-12","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012570","344","DUNCAN FORESTRY","747","BC","-123.683333","48.766667","6","1958-07-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012573","345","DUNCAN KELVIN CREEK","748","BC","-123.7275","48.73472","103","1987-04-01","2016-03-20","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012628","346","EAST SOOKE ANDERSON COVE","749","BC","-123.633333","48.35","37","1966-05-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1012655","380","ELK LAKE","783","BC","-123.383333","48.516667","114","1957-08-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","1013045","382","GALIANO ISLAND GCC","785","BC","-123.35","48.9","15","1956-02-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)"
"1","EC","1013051","383","GANGES MANSELL RD","786","BC","-123.4982","48.87172","45","1974-12-01","2014-01-31","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"1","EC","10130MN","384","GALIANO NORTH","787","BC","-123.5736","48.98528","6","1975-01-13","2021-03-23","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
